Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
HYDROXYCITRONELLAL,,,"Citronellal. hydrate;  Citronellal,. hydroxy;  Cyclalia;  Cyclosia;  3,7-Dimethyl-7-hydroxyoctanal;  Hydroxycitronellal; 7-Hydroxycitronellal; 7-Hydroxy-3,7-dimethyloctanal; 7-Hydroxy-3,7-dimethyloctan-1-al; Laurine; Lilyl aldehyde; Muguet syn-thetic; Muguettine principle; Musuet synthetic; Musuettine principle; Octanal, 7-hydroxy-3,7-dimethyl-; 1-Octanal, 3,7-dimethyl-7-hydroxy-; Octanal, 7-hydroxy-3,7-dimethyl; Phixia",107-75-5,5.012,2583,2583,100,203-518-7,611,,"Hydroxycitronellal has a sweet, floral, lily-type odor ","566.67 lb",0.0004802,Approved,"21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","0.838 mg",Artificial,"(FCC, 1996); Acid value (max); 5.0; Refractive index; 1.447–1.450 (20°C); Appearance; Colorless liquid; Solubility; 1:1 in 50% alcohol; soluble in most ; fixed oils and propylene glycol; ; insoluble in glycerin; Assay (min); 95% C10H20O2; Specific gravity; 0.918–0.923 (25°C); Boiling point; 241°C","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '3.00'], ['Gelatins, puddings', '0.20', '4.50'], ['Baked goods', '4.77', '7.55'], ['Hard candy', '2.75', '8.50'], ['Chewing gum', '1.30', '4.70'], ['Nonalcoholic beverages', '0.10', '8.00'], ['Confectionary, frosting', '0.05', '0.05'], ['Seasonings, flavors', '1.00', '5.00'], ['Frozen dairy', '5.22', '8.31'], ['Soft candy', '0.20', '20.00'], ['Fruit ices', '0.0001', '0.0001'], ['Sweet sauces', '0.0007', '0.0007']]",,"Taste characteristics at 50 ppm; sweet, waxy, green, floral and melon notes ",C10H20O2/172.27,"By hydration of natural citronellal obtained from Java citronella or from Eucalyptus citriodora; β-pinene is converted to myrcene, which on hydration may yield either linalool or mixture of geranoil and nerol; the latter mixture can be hydrogenated to citronellol and subsequently converted to citronellal and hydroxycitronellal; also by hydrogenation of 3,7-dimethyl-7-hydroxy-2-octen-2-al over palladium carbon in ethyl acetate solution ","Reported found in pepper",,,,,,,,,,,
"HYDROXYCITRONELLAL DIETHYL ACETAL",,,"8,8-Diethoxy-2,6-dimethyloctan-2-ol;  8,8-Diethoxy-2,6-dimethyl-2-octanol;  Hydroxycitronellal diethyl acetal; 2-Octanol, 8,8-diethoxy-2,6-dimethyl-",7779-94-4,6.01,2584,2584,44,231-945-9,613,,"Hydroxycitronellal diethyl acetal has a delicate, green-floral taste with almost no odor ","<1.00 lb","0.00001186 mg/kg/day","2 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","1.483 mg",Artificial,"(JECFA, 2000); Appearance; Colorless, slightly oily liquid; Refractive index; 1.435–1.440; Assay (min); 95%; Solubility; Insoluble in water; soluble in alcohol ; and oil; Boiling point; 260°C; 135°C (3 mmHg); Specific gravity; 0.902–0.908","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '3.00'], ['Gelatins, puddings', '3.57', '5.71'], ['Baked goods', '7.86', '11.43'], ['Nonalcoholic beverages', '1.50', '3.57'], ['Frozen dairy', '4.43', '7.43'], ['Soft candy', '5.14', '8.86']]",,,C14H30O3/246.39,"By condensation of hydroxycitronellal with ethanol using dry HCl","Not reported found in nature",,,,,,,,,,,
"HYDROXYCITRONELLAL DIMETHYL ACETAL",,,"8,8-Dimethoxy-2,6-dimethyl-2-octanol; 8,8-Dimethoxy-2,6-dimethyloctan-2-ol; Hydroxycitronellal dimethyl acetal; Hydroxycitronellal DMA; 7-Hydroxy-3,7-dimethyloctanal, dimethyl acetal; Laurine dimethyl acetal; Octanal, 7-hydroxy-3,7-di-methyl-, dimethyl acetal; 2-Octanol, 8,8-dimethoxy-2,6-dimethyl-",141-92-4,6.011,2585,2585,45,205-510-9,612,,"Hydroxycitronellal dimethyl acetal has a light, green, flowery odor similar to hydroxycitronellal ","13.33 lb","0.0001129 mg/kg/day","20 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","9.197 mg",Artificial,"(FCC, 1996); Acid value (max); 1.0; Free aldehyde; Not more than 3% (as ; hydroxycitronellal); Appearance; Colorless liquid; Refractive index; 1.441–1.444; Assay (min); 95% C12H26O3; Solubility; Soluble in most fixed oils, propylene ; glycol and alcohol:; 1:2 in 50% ; alcohol; insoluble in glycerin; Boiling point; 252°C; Specific gravity; 0.925–0.930","(FEMA, 1994)","[['Baked goods', '55.00', '60.00'], ['Gelatins, puddings', '20.00', '25.00'], ['Chewing gum', '2.00', '2.00'], ['Nonalcoholic beverages', '5.79', '8.71'], ['Frozen dairy', '18.59', '23.24'], ['Soft candy', '28.37', '38.37']]",,,C12H26O3/218.33,"Usually prepared from hydroxycitronellal and methyl alcohol in the presence of a catalyst","Reported found in kumquat peel oil",,,,,,,,,,,
HYDROXYCITRONELLOL,,,"Citronellol,. hydroxy-;  3,7-Dimethyloctane-1,7-diol;  3,7-Dimethyl-1,7-. octanediol;  Hydroxycitronellol;  7-Hydroxy-3,7-dimethyloctan-1-ol;  1-Octanol,. 3,7-dimethyl-7-hydroxy-;  1,2-Octanediol, 3,7-dimethyl-;  1,7-Octanediol, 3,7-dimethyl-; 2,8-Octanediol, 2,6-dimethyl-",107-74-4,2.047,2586,2586,559,203-517-1,610,,"Hydroxycitronellol has an odor reminiscent of rose and grape hyacinth","120.00 lb","0.0001016 mg/kg/day","3 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","1.030 mg",,"(JECFA, 1999); Aldehyde content; Not more than 10% ; (as hydroxycitronellal); Refractive index; 1.455–1.460 (20°C); Appearance; Colorless, very viscous liquid; Solubility; Slightly soluble in water; soluble in ; alcohol (1:1 in 60% alcohol) and ; oils; Boiling point; 263°C; 156°C (15 mmHg); Specific gravity; 0.922–0.930 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '3.00'], ['Hard candy', '0.19', '0.19'], ['Baked goods', '5.30', '8.50'], ['Nonalcoholic beverages', '1.13', '4.45'], ['Frozen dairy', '3.40', '6.50'], ['Soft candy', '3.32', '6.10'], ['Gelatins, puddings', '2.26', '6.00']]","5 ppm",,C10H22O2/174.28,"By hydrogenation (under pressure in presence of Raney Ni) of 3,7-dimethyl-7-hydroxy-octan-1-al; also in good yields by catalytic hydrogenation (using Raney Ni) of 1,2-epoxy-3,7-dimethyl-octan-7-ol ","Reported found in high bush blueberry, grapes, skim milk powder and white wine ",,,,,,,,,,,
2-HYDROXY-2-CYCLOHEXEN-1-ONE,,,"1,2-Cyclohexanedione; 2-Cyclohexen-1-one, 2-hydroxy-",10316-66-2,7.119,3458,3458,11046,,424,,,"11.67 lb","0.00000988 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","0.815 mg",,"(JECFA, 1998); Assay (min); 99.3%; Melting point; 36–38°C; Boiling point; 53°C; Solubility; Soluble in water, alcohol and fats","(FEMA, 1994)","[['Baked goods', '3.00', '3.00'], ['Soft candy', '7.00', '7.00'], ['Condiments, relishes', '7.00', '7.00'], ['Soups', '5.00', '5.00'], ['Gelatins, puddings', '7.00', '7.00']]",,,C6H8O2/112.13OOH,,"Not reported found in nature",,,,,,,,,,,
"5-HYDROXY-2,4-DECADIENOIC ACID δ-LACTONE",,,"2H-Pyran-2-one,. 6-pentyl-;  6-Amyl-alpha-pyrone;  5-Hydroxy-2,4-decadienoic acid delta-lactone;  6-Pentyl-2H-pyran-2-one; 2H-Pyran-2-one, 6-pentyl-",27593-23-3,10.031,3696,3696,10967,248-552-3,245,,"5-Hydroxy-2,4-decadienoic acid δ-lactone has a mushroom, blue cheese lactone or dairy odor ",,,,,,"Not evaluated. Evaluation postponed (1997)","0.029 mg","Nature Identical","(JECFA, 2000); Appearance; Liquid; Refractive index; 1.501–1.509; Assay (min); 98.7%; Solubility; Insoluble in water; soluble in fats; Boiling point; 85°C (2.5 mmHg); Specific gravity; 1.000–1.009","(FEMA, 1994)","[['Baked goods', '0.10', '0.20'], ['Gravies', '0.10', '0.20'], ['Cheese', '0.10', '0.20'], ['Hard candy', '0.10', '0.20'], ['Chewing gum', '0.20', '0.50'], ['Imitation dairy', '0.05', '0.10'], ['Condiments, relishes', '0.20', '0.50'], ['Nonalcoholic beverages', '0.10', '0.20'], ['Confectionary, frosting', '0.10', '0.20'], ['Reconstituted vegetables', '0.10', '0.20'], ['Gelatins, puddings', '0.02', '0.05'], ['Soft candy', '0.05', '0.10']]","150 ppb","Taste characteristics at 30 ppm; sweet creamy, coconut, mushroom and nutty ",C10H14O2/166.22,,"Reported found in peach, grilled beef, fresh plum and nectarine ",,,,,,,,,,,
"5-HYDROXY-2-DECENOIC ACID δ-LACTONE",,,"Massoilactone; (–)-2-Decenoic acid, 5-hydroxy, δ-lactone; 5,6-Dihydro-6-pentyl-2H-pyran-2-one; (R)-5,6-Dihydro-6-pentyl-2H-pyran-2-one; Massoia lactone; Massoi lactone; 5,6-Dihydro-6-penyl-, (R)-; 5-Hydroxy-2-decenoic acid delta-lactone; Massoia lactone; Massoilactone; 2H-Pyran-2-one, 5,6-dihydro-6-pentyl-, (R)-",51154-96-2,,3744,3744,,,246,,"5-Hydroxy-2-decenoic acid δ-lactone has a sweet, lactonic, herbaceous odor with celery-jasmine notes ","1.67 lb","0.00000141 mg/kg/day",,,,"Not evaluated (1993)","0.031 mg",Natural,"(JECFA, 1998); Appearance; Clear, pale yellow liquid; Refractive index; 1.462–1.482 (20°C); Assay (min); 95.1%; Solubility; Insoluble in water; soluble in fat and ; alcohol; Boiling point; 112°C; Specific gravity; 0.947–0.987 (25°C)","(FEMA, 1994)","[['Baked goods', '0.20', '1.00'], ['Imitation dairy', '0.10', '2.00'], ['Chewing gum', '0.20', '4.00'], ['Nonalcoholic beverages', '0.02', '0.50'], ['Confectionary, frosting', '0.05', '1.00'], ['Reconstituted vegetables', '0.10', '0.20'], ['Gravies', '0.10', '0.20'], ['Soft candy', '0.05', '0.50'], ['Hard candy', '0.10', '4.00']]",,"Taste characteristics at 20 ppm; creamy, coconut, milky, green and slightly fruity ",C10H16O6/168.23,,"Reported found in blackberries, cane molasses, massoi bark and oils of Polyanthes tuberosa and sweet grass",,,,,,,,,,,
"5-HYDROXY-7-DECENOIC ACID δ-LACTONE",,,"2H-Pyran-2-one, tetrahydro-6-(2Z)-2-penten-1-yl-; Jasmine lactone; cis-5-(2-Pentenyl)penta-nolide; 2H-Pyran-2-one, tetrahydro-6-(2-pentenyl)-, (Z); 5-Hydroxy-7-decenoic acid delta-lactone; 5-Hydroxy-7(Z)-decenoic acid-delta-lactone; 2H-Pyran-2-one, tetrahydro-6-(2-pentenyl)-, (Z)-; 2H-Pyran-2- one, tetrahydro-6-((Z)-2-penten-1-yl)-; (Z)-Tetrahydro-6-(2-pentenyl)-2H-pyran-2-one; Tetrahydro-6-(cis-2-pentenyl)-2H-pyran-2-one",25524-95-2,,3745,3745,,247-074-2,247,,"5-Hydroxy-7-decenoic acid δ-lactone has a coconut, fatty, fruity, peach, jasmine, woody, balsamic odor ",,,,,,"No safety concern at current level of intake (1993)","0.295 mg","Nature Identical","(JECFA, 2000); Appearance; Colorless to light yellow liquid; Refractive index; 1.477 (20°C); Assay (min); 95%; Solubility; Insoluble in water and fat; soluble in ; alcohol and ether; Boiling point; 130°C (3 mmHg); Specific gravity; 0.979–0.989 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '3.00', '5.00'], ['Hard candy', '0.20', '1.00'], ['Baked goods', '1.00', '3.00'], ['Imitation dairy', '0.10', '1.00'], ['Chewing gum', '0.50', '15.00'], ['Jams, jellies', '1.00', '3.00'], ['Confectionary, frosting', '0.05', '3.00'], ['Milk products', '1.00', '2.00'], ['Frozen dairy', '0.05', '1.00'], ['Nonalcoholic beverages', '0.05', '3.00'], ['Fruit ices', '0.01', '0.10'], ['Soft candy', '0.05', '1.50'], ['Gelatins, puddings', '0.05', '3.00'], ['Sweet sauce', '1.00', '3.00']]","Aroma characteristics at 5.0%; creamy, lactonic, fatty and dairy with a waxy, tropical and fruity nuance ","Taste characteristics at 75 ppm; creamy, fatty, coconut, peach and apricot-like with tropical nuances ",C10H16O2/168.24,,"Reported found in jasmine absolute, peppermint oil, Ceylon tea, green tea and pouching tea, gardenia, honey-suckle, tuberose, ginger lily, and peach ",,,,,,,,,,,
6-HYDROXYDIHYDROTHEASPIRANE,,,"6-Hydroxy-2,6,10,10-tetramethyl-1-oxaspiro-(4,5)decane; 1-Oxaspirol[4,5] decan-6-ol, 2,6,10,10-tetramethyl-, [2S-[2α,5α(R-*)]]-",65620-50-0,13.076,3549,3549,11917,,1648,,"6-Hydroxydihydrotheaspirane has a camphoraceous, woody, green odor ","1.67 lb","0.00000141 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","0.008 mg","Nature Identical","(JECFA, 2008); Appearance; Colorless to yellow liquid; Refractive index; 1.481–1.487 (20°C); Assay (min); 98%; Solubility; Insoluble in water; fat soluble; Boiling point; 211–212°C; Specific gravity; 1.006–1.010 (25°C)","(FEMA, 1994)","[['Frozen dairy', '0.10', '0.20'], ['Nonalcoholic beverages', '0.03', '0.05'], ['Gelatins, puddings', '0.10', '0.20'], ['Soft candy', '0.10', '0.20']]","0.2 ppb","Taste characteristics at 20 ppm; camphoreous, woody, green, cooling and minty with a fenchyl and tropical nuance ",C13H24O2/212.33CH3OCH3OHCH3CH3,,"Reported found in black tea",,,,,,,,,,,
"4-HYDROXY-3,5-DIMETHOXYBENZALDEHYDE",,,"Benzaldehyde,. 4-hydroxy-3,5-dimethoxy-;  Syringic aldehyde;  Syringaldehyde;  Gallaldehyde 3,5-dimethyl ether; 3,5-Dimethoxy-4-hydroxybenzaldehyde",134-96-3,5.153,4049,,10340,205-167-5,1878,,"4-Hydroxy-3,5-dimethoxybenzaldehyde has an alcoholic odor ",,,,,,,"2.381 mg (FEMA)",,"(JECFA, 2008) ; Appearance; Very pale green needles; Melting point; 110–113°C; Assay (min); 98%; Solubility; Insoluble in water","(FEMA, 2002)","[['Baked goods', '12.00', '60.00'], ['Hard candy', '6.00', '30.00'], ['Chewing gum', '15.00', '75.00'], ['Milk products', '4.00', '20.00'], ['Frozen dairy', '6.00', '30.00'], ['Nonalcoholic beverages', '4.00', '20.00']]","Aroma characteristics at 1.0%; weak sweet, slightly smoky, cinnamic, vanilla, leather-like with a phenolic medicinal nuance ",,C9H10O4/182.17OOOOHCH3H3C,"Vanillin. is. converted. to. 5-iodovanillin,. which. is. treated. with. sodium. methoxide. to. form. 4-hydroxy-3,5-dimethyxybenzaldehyde ","Reported found in pineapple, beer, wine, grape brandy, rum, many different whisky products, sherry, roasted barley and hardwood smoke ",,,,,,,,,,,
"4-HYDROXY-2,5-DIMETHYL-3(2H)-FURANONE",,,"Dimethylhydroxy furanone;  2,5-Dimethyl-4-hydroxy-2,3-dihydro-furan-3-one;  Alletone;  COE. 536;  2,5-Dimethyl-4-hydroxy-3(2H)-furanone;  4,5-Dimethyl-3-hydroxy-3(2H)-furanone;  Furaneol;  3(2H)-Furanone, 2,5-dimethyl-4-hydroxy-; 3(2H)-Furanone, 4-hydroxy-2,5-dimethyl-; 4-Hydroxy-2,5-dimethylfuran-2(3H)-one; 4-Hydroxy-2,5-dimethyl-3(2H)- fura-none; Pineapple ketone",3658-77-3,13.01,3174,3174,536,222-908-8,1446,,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone has a sweet, fruity, strawberry, hot sugar, fruity caramel or “burnt pineapple” aroma ","16216.67 lb","0.01374 mg/kg/day","5 ppm",,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2004)","1.516 mg","Nature Identical","(JECFA, 2008); Appearance; Colorless to white solid; Melting point; 78–80°C; Assay (min); 98% C6H8O3; Solubility; Soluble in oil and ethanol; insoluble in ; water","(FEMA, 1994)","[['Alcoholic beverages', '0.54', '0.75'], ['Jams, jellies', '0.59', '0.59'], ['Baked goods', '3.50', '3.50'], ['Nonalcoholic beverages', '5.00', '80.00'], ['Chewing gum', '2.60', '2.60'], ['Seasonings, flavorings', '1.20', '10.00'], ['Fats, oils', '0.10', '0.50'], ['Soft candy', '20.00', '60.00'], ['Frozen dairy', '5.41', '10.49'], ['Sweet sauces', '5.00', '40.00'], ['Gelatins, puddings', '10.00', '80.00']]","sweet, slightly burnt brown caramellic, cotton candy with a savory nuance ","Taste characteristics at 0.10 to 1.0 ppm; sweet caramellic cooked meaty and fruity nuances",C6H8O3/128.13H3CCH3OOOH,"From dimethyl-3,4-dihydroxyfuran-2,5-dicarboxylate ","Reported found in guava, grapes, pineapple, raspberry, strawberry fruit and jam, rye bread, Swiss cheese, boiled beef, beer, cocoa, coffee, tea, filberts, almonds, oatmeal, Arctic bramble, yellow passion fruit, mango, shoyu, fermented soy sauce, litchi, malt and Cape gooseberry ",,,,,,,,,,,
"4-HYDROXY-2,3-DIMETHYL-2,4-NONADIENOIC ACID GAMMA-LACTONE",,,"Bovolide; 2(5H)-Furanone, 3,4-dimethyl-5-pentylidene-; 3,4-Dimethyl-5-pentylidene-5H-furan-2-one; 5-Pentylidene-3,4-dimethyl-2,5-dihydrofuran-2-one",774-64-1,10.042,4050,,11873,,,,"4-Hydroxy-2,3-dimethyl-2,4-nonadienoic acid gamma-lactone has a buttery flavor ",,,,,,,"0.782 mg (FEMA)",,,"(FEMA, 2002)","[['Alcoholic beverages', '1.00', '2.00'], ['Hard candy', '2.00', '4.00'], ['Baked goods', '3.00', '6.00'], ['Meat products', '1.00', '2.00'], ['Chewing gum', '5.00', '10.00'], ['Milk products', '1.00', '2.00'], ['Condiments, relishes', '1.00', '2.00'], ['Nonalcoholic beverages', '1.00', '2.00'], ['Frozen dairy', '2.00', '4.00'], ['Snack foods', '1.00', '2.00'], ['Fruit ices', '1.00', '2.00'], ['Soft candy', '2.00', '4.00'], ['Gravies', '1.00', '2.00'], ['Soups', '1.00', '2.00']]",,,C11H16O2/180.25H3CCH3H3COO,,"Reportedly present in peppermint oil, beef, tea, soybean and maté (green, roasted) ",,,,,,,,,,,
"6-HYDROXY-3,7-DIMETHYL OCTANOIC ACID, LACTONE",,,"6-Hydroxy-3,7-dimethyl caprylic acid, lactone; 4-Methyl-7-isopropyl-2-oxoepanone; 6-Hydroxy-3,7-dimethyloctanoic acid lactone;  7-Isopropyl-4-methyloxepan-2-one;  3-Methyl-6-isopropyl-6-hexanolide;  4-Methyl-7-(1-methylethyl)-2-oxepanone; 2-Oxepanone, 4-methyl-7-(1-methylethyl)-",499-54-7,10.027,3355,3355,11833,207-882-8,237,,"6-Hydroxy-3,7-dimethyl octanoic acid, lactone has a maple syrup or brown-sugar odor","<1.00 lb","0.00000061 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent; secondary components do not raise a safety concern (2002)","11.992 mg",,"(FCC, 1996); Appearance; Colorless, low-melting solid; Solubility; Very soluble in water;; soluble in alcohol; Assay (min); 90% C10H18O2; Specific gravity; 0.966–0.973 (25°C); Refractive index; 1.457–1.461 (20°C)","(FEMA, 1994)","[['Baked goods', '40.00', '500.00'], ['Nonalcoholic beverages', '40.00', '300.00'], ['Frozen dairy', '40.00', '200.00'], ['Soft candy', '40.00', '200.00'], ['Gelatins, puddings', '40.00', '500.00'], ['Sweet sauce', '40.00', '100.00']]",,,C10H18O2/170.25,,"Not reported found in nature",,,,,,,,,,,
"(Z)-4-HYDROXY-6-DODECENOIC ACID LACTONE",,,"cis-4-Hydroxydodec-6-enoic acid lactone; γ-Dodecen-6-lactone;  1,4-Dodec-6-enolactone;  cis-6-Dodecen-4-olide; 2(3H)-Furanone, dihydro-5(2-octenyl), (Z)-",18679-18-0,10.009,3780,,625,242-497-9,249,,"(Z)-4-Hydroxy-6-dodecenoic acid lactone has a milky, buttery note. May contain significant amounts of γ-dodecalactone ",,"0.0001676 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1993)","0.49164 mg",Natural,"(JECFA, 1998); Appearance; Colorless liquid; Refractive index; 1.466 (20°C); Assay (min); 95.5%; Solubility; Insoluble in water and fat; soluble in ; alcohol and ether; Boiling point; 113°C; Specific gravity; 0.9580 (25°C)","(FEMA, 1993)","[['Baked goods', '3.00', '10.00'], ['Imitation dairy', '1.00', '5.00'], ['Fruit ices', '0.20', '1.00'], ['Milk products', '2.00', '10.00']]","sweet, fatty, waxy, dairy and creamy with a lactonic, fruity nuance ","Taste characteristics at 5.0 ppm; fatty, waxy, creamy and dairy-like with a lactonic fruitness ",C12H20O2/196.29,,"Reported found in peach, mushroom, sheep and lamb meat and dairy products ",,,,,,,,,,,
"5-HYDROXY-2-DODECENOIC ACID LACTONE",,,"δ-2-Dodecenolactone;  6-Heptyl-5,6-dihydro-2-pyrone;  6-Heptyl-5,6-dihydropyran-2-one;  6-Heptyl-5,6-dihydro-2H-pyran-2-one; 5-Heptyl-2-pentene-5-olide; 5-Hydroxy-2-dodecenoic acid lactone; 2H-Pyran-2-one, 6-heptyl-5,6-dihydro-",16400-72-9,10.044,3802,,,240-453-3,438,,"5-Hydroxy-2-dodecenoic acid lactone has a hot milk, fatty odor ",,,,,,"Not evaluated (1993)","0.720819 mg",,"(JECFA, 2000); Appearance; Clear, light-yellow liquid; Refractive index; 1.467–1.473 (20°C); Assay (min); 95%; Solubility; Soluble in fat, ethanol, propylene ; glycol and triacetin; Boiling point; 115°C (2 mmHg); Specific gravity; 1.470–1.480 (25°C)","(FEMA, 1996)","[['Alcoholic beverages', '2.00', '5.00'], ['Imitation dairy', '2.00', '25.00'], ['Baked goods', '0.50', '5.00'], ['Instant coffee, tea', '2.00', '15.00'], ['Breakfast cereals', '1.00', '5.00'], ['Jams, jellies', '0.10', '5.00'], ['Cheese', '0.50', '5.00'], ['Meat products', '0.10', '5.00'], ['Chewing gum', '2.00', '15.00'], ['Milk products', '0.50', '5.00'], ['Condiments, relishes', '0.10', '5.00'], ['Nonalcoholic beverages', '1.00', '5.00'], ['Confection, frosting', '3.00', '25.00'], ['Nut products', '0.10', '5.00'], ['Egg products', '0.10', '5.00'], ['Other grains', '1.00', '5.00'], ['Fats, oils', '5.00', '15.00'], ['Poultry', '0.10', '5.00'], ['Fish products', '0.10', '5.00'], ['Processed vegetables', '0.10', '5.00'], ['Frozen dairy', '0.10', '5.00'], ['Reconstituted vegetables', '0.10', '5.00'], ['Fruit ices', '0.10', '5.00'], ['Seasonings, flavors', '0.10', '5.00'], ['Fruit juice', '0.10', '5.00'], ['Snack foods', '1.00', '15.00'], ['Gelatins, puddings', '0.10', '10.00'], ['Soft candy', '3.00', '10.00'], ['Granulated sugar', '0.10', '5.00'], ['Soups', '0.10', '5.00'], ['Gravies', '2.00', '25.00'], ['Sugar substitutes', '0.10', '5.00'], ['Hard candy', '1.00', '10.00'], ['Sweet sauce', '0.10', '5.00']]",,,C12H20O2/196.29CH3OO,"Fractionated from massoia bark oil obtained by steam distillation of bark","Not reported found in nature",,,,,,,,,,,
